,id,user,transaction type,category,amount,send to,withdraw from,deposit from,timestamp
0,0,0752215126,deposit,,14317.49,,,0774796872,2018-12-11 18:13:41
1,1,0773702333,withdraw,,6314909.62,,0785128460,,2019-02-14 00:10:03
2,2,0770122536,fees,,60918.57,,,,2018-11-02 10:49:55
3,3,0752221556,deposit,,73532.04,,,0770122536,2018-05-01 16:31:01
4,4,0770122536,withdraw,,212315.66,,0773315944,,2020-03-05 07:43:26
5,5,0752457103,send,,463835.8,0762910555,,,2018-08-13 16:27:05
6,6,0773315944,fees,,490266.23,,,,2019-11-15 00:55:23
7,7,0773315944,paybill,electricity,198265.65,,,,2019-04-10 00:54:43
8,8,0760497600,withdraw,,279910.5,,0752221556,,2019-03-28 23:27:28
9,9,0774892352,deposit,,37200.16,,,0777920039,2020-09-02 23:31:26
10,10,0766738417,deposit,,147638.92,,,0770593319,2020-09-26 04:34:53
11,11,0759263249,send,,734531.03,0777920039,,,2020-07-28 00:56:59
12,12,0773702333,paybill,electricity,48087.35,,,,2019-07-07 07:14:40
13,13,0777920039,fees,,128395.65,,,,2018-09-24 14:09:30
14,14,0789123135,buy,airtime,1132257.07,,,,2018-12-21 11:17:31
15,15,0777920039,withdraw,,850517.71,,0762910555,,2018-03-31 13:02:00
16,16,0774796872,paybill,donation,30923.82,,,,2019-01-09 14:27:16
17,17,0759263249,paybill,donation,186292.92,,,,2019-06-14 00:42:19
18,18,0773702333,buy,airtime,88810.8,,,,2018-11-07 11:18:49
19,19,0762910555,fees,,53911.69,,,,2019-11-30 01:58:34
20,20,0760497600,send,,116497.13,0762910555,,,2019-12-30 02:52:57
21,21,0752457103,buy,airtime,73987.25,,,,2019-09-06 16:31:06
22,22,0752221556,paybill,water,127953.42,,,,2019-07-19 15:58:55
23,23,0762958754,paybill,donation,103540.46,,,,2018-10-27 00:57:20
24,24,0780835457,deposit,,112921.61,,,0752221556,2020-05-09 08:25:59
25,25,0789123135,withdraw,,103474.15,,0773702333,,2019-03-10 05:07:32
26,26,0774892352,paybill,donation,5648608.0,,,,2018-11-06 04:36:13
27,27,0762910555,deposit,,86513.93,,,0759263249,2018-09-30 04:02:52
28,28,0752215126,withdraw,,181048.94,,0770122536,,2018-04-06 03:35:37
29,29,0752221556,withdraw,,210879.03,,0752221556,,2019-03-09 05:57:03
30,30,0774796872,buy,airtime,413982.27,,,,2018-09-17 02:00:42
31,31,0760497600,deposit,,450788.76,,,0752457103,2020-05-19 16:13:05
32,32,0777920039,deposit,,178362.86,,,0789123135,2020-09-30 10:14:14
33,33,0752613667,buy,airtime,255114.85,,,,2019-05-10 23:15:25
34,34,0789123135,buy,airtime,86484.14,,,,2019-03-27 16:32:49
35,35,0752215126,fees,,122450.93,,,,2019-02-13 09:30:56
36,36,0785128460,withdraw,,122628.74,,0774796872,,2019-05-19 00:05:20
37,37,0762910555,send,,47610.21,0766738417,,,2020-08-21 09:46:17
38,38,0759263249,send,,221564.76,0762958754,,,2018-11-01 13:56:49
39,39,0752457103,fees,,137034.98,,,,2019-06-10 13:35:31
40,40,0752457103,buy,data,149918.25,,,,2018-11-19 00:50:19
41,41,0773702333,fees,,85399.71,,,,2018-04-01 18:06:11
42,42,0762910555,fees,,743468.58,,,,2019-12-01 19:00:01
43,43,0785128460,buy,data,50867.36,,,,2020-04-05 00:29:30
44,44,0762958754,paybill,water,137242.42,,,,2018-12-14 05:53:27
45,45,0752457103,fees,,174301.62,,,,2019-05-06 18:09:29
46,46,0752221556,send,,234299.11,0780835457,,,2019-07-19 18:59:31
47,47,0770122536,send,,6784.68,0774796872,,,2020-08-12 12:10:42
48,48,0770593319,send,,69511.67,0762910555,,,2019-03-26 14:55:26
49,49,0760497600,send,,73573.88,0785128460,,,2018-03-17 09:28:39
50,50,0752221556,fees,,371897.58,,,,2018-12-14 01:43:28
51,51,0759263249,paybill,water,2468077.75,,,,2019-10-19 23:00:10
52,52,0766738417,withdraw,,93491.3,,0770593319,,2020-07-15 23:22:14
53,53,0773315944,withdraw,,81129.48,,0752457103,,2020-08-22 21:54:10
54,54,0785128460,withdraw,,2422720.27,,0766738417,,2020-05-27 11:17:57
55,55,0785128460,paybill,water,111688.42,,,,2019-07-30 01:44:52
56,56,0773315944,fees,,221091.12,,,,2018-10-01 08:35:04
57,57,0759263249,deposit,,536915.08,,,0752457103,2019-12-14 10:20:12
58,58,0766738417,buy,airtime,155980.78,,,,2019-06-18 23:44:24
59,59,0770593319,deposit,,84891.96,,,0752215126,2018-02-12 18:33:20
60,60,0760497600,paybill,tv,93004.63,,,,2020-03-09 04:56:51
61,61,0760497600,withdraw,,113822.11,,0789123135,,2020-05-21 10:22:08
62,62,0789123135,withdraw,,38286.54,,0752221556,,2018-11-24 23:11:56
63,63,0774892352,deposit,,406922.68,,,0773702333,2020-05-12 09:51:59
64,64,0752457103,send,,25578.96,0762910555,,,2019-11-14 06:53:21
65,65,0762958754,buy,data,34025.2,,,,2019-02-07 08:58:53
66,66,0777920039,buy,data,122065.83,,,,2018-09-16 17:35:54
67,67,0762910555,fees,,12101.8,,,,2018-03-23 10:28:34
68,68,0774892352,fees,,19451.68,,,,2019-05-20 06:36:47
69,69,0762958754,paybill,donation,120286.44,,,,2018-09-05 10:14:50
70,70,0774892352,send,,20958.95,0752221556,,,2018-04-05 16:47:29
71,71,0777920039,deposit,,70997.24,,,0777920039,2020-03-10 01:32:47
72,72,0762958754,paybill,electricity,160782.49,,,,2018-04-06 21:18:15
73,73,0752613667,fees,,124742.11,,,,2018-07-14 11:56:24
74,74,0770593319,paybill,tv,55613.66,,,,2020-08-03 17:08:21
75,75,0760497600,withdraw,,59167.9,,0773702333,,2019-12-22 20:02:52
76,76,0766738417,paybill,tv,171428.73,,,,2019-08-06 15:16:15
77,77,0770593319,send,,249302.92,0780835457,,,2020-03-16 04:31:47
78,78,0762958754,buy,airtime,62095.71,,,,2019-11-16 00:36:06
79,79,0774892352,buy,airtime,38887.22,,,,2019-09-09 14:09:55
80,80,0773315944,buy,airtime,22110.16,,,,2019-08-27 00:28:36
81,81,0762958754,paybill,tv,67697.48,,,,2020-09-29 15:04:20
82,82,0789123135,withdraw,,44697.21,,0752457103,,2019-07-13 23:24:34
83,83,0789123135,fees,,1355448.16,,,,2019-04-07 16:55:32
84,84,0774892352,paybill,donation,171786.72,,,,2019-08-20 05:17:16
85,85,0780835457,send,,203773.56,0773702333,,,2019-08-31 18:51:03
86,86,0762910555,buy,airtime,99922.35,,,,2018-12-05 09:26:39
87,87,0759263249,paybill,electricity,146350.79,,,,2020-01-18 03:37:13
88,88,0773702333,send,,199667.31,0752457103,,,2018-12-11 14:31:35
89,89,0780835457,buy,airtime,4222.54,,,,2018-12-22 12:45:03
90,90,0752613667,deposit,,301911.89,,,0789123135,2020-03-27 21:08:21
91,91,0759263249,send,,106619.08,0780835457,,,2020-08-09 22:45:45
92,92,0759263249,send,,1997026.46,0752221556,,,2019-04-26 00:48:09
93,93,0752221556,deposit,,69080.64,,,0759263249,2018-10-13 07:13:16
94,94,0752221556,deposit,,23385.67,,,0789123135,2019-11-09 22:32:53
95,95,0752215126,paybill,tv,52143.79,,,,2020-05-31 08:07:03
96,96,0785128460,send,,53969.38,0752215126,,,2019-10-29 11:06:45
97,97,0770593319,paybill,water,395053.67,,,,2018-03-26 06:42:58
98,98,0774892352,send,,93416.81,0773315944,,,2018-09-10 18:41:33
99,99,0766738417,paybill,water,121973.29,,,,2019-03-09 02:01:09
100,100,0785128460,withdraw,,41799.43,,0773702333,,2018-08-12 10:04:47
101,101,0770593319,buy,data,150800.43,,,,2020-01-26 13:29:16
102,102,0774892352,buy,airtime,1062368.19,,,,2019-02-13 16:16:37
103,103,0762910555,fees,,299468.85,,,,2018-05-01 19:16:55
104,104,0752215126,withdraw,,109901.7,,0773702333,,2020-06-25 09:00:42
105,105,0773702333,buy,airtime,64665.27,,,,2019-11-07 20:37:31
106,106,0773315944,send,,288164.16,0752457103,,,2020-10-22 15:28:26
